RCOM,,,,,,
STOCK data,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,6,6,5.8,5.85,5.85,17747421
2019-03-11,5.85,5.9,5.25,5.35,5.35,46595548
2019-03-12,5.45,5.55,5.05,5.1,5.1,45161652
2019-03-13,5.15,5.15,4.8,4.9,4.9,42631323
2019-03-14,4.9,4.95,4.6,4.65,4.65,36928629
2019-03-15,4.7,4.7,4.35,4.4,4.4,49090349
2019-03-18,4.3,4.3,3.95,4,4,70109329
2019-03-19,4.4,4.4,4.3,4.4,4.4,106963985
2019-03-20,4.8,4.8,4.65,4.8,4.8,35449865
2019-03-22,5.25,5.25,4.85,5.25,5.25,211154872
2019-03-25,5.15,5.15,5,5,5,57980600
2019-03-26,4.75,4.85,4.75,4.75,4.75,20811969
2019-03-27,4.55,4.55,4.55,4.55,4.55,4895814
2019-03-28,4.35,4.35,4.35,4.35,4.35,6336135
2019-04-01,3.95,4.1,3.95,3.95,3.95,100285154
2019-04-02,3.85,3.9,3.8,3.8,3.8,27477288
2019-04-03,3.65,3.65,3.65,3.65,3.65,7529599
2019-04-04,3.5,3.7,3.5,3.5,3.5,104887888
2019-04-05,3.35,3.35,3.35,3.35,3.35,7702191
2019-04-08,3.2,3.3,3.2,3.2,3.2,23464212
2019-04-09,3.05,3.05,3.05,3.05,3.05,5846693
2019-04-10,2.9,2.9,2.9,2.9,2.9,7046997
2019-04-11,2.8,2.8,2.8,2.8,2.8,5081476
2019-04-12,2.7,2.7,2.7,2.7,2.7,5218162
2019-04-15,2.6,2.7,2.6,2.6,2.6,38546912
2019-04-16,2.5,2.5,2.5,2.5,2.5,4179555
2019-04-18,2.4,2.4,2.4,2.4,2.4,4123227
2019-04-22,2.3,2.3,2.3,2.3,2.3,4567152
2019-04-23,2.2,2.2,2.2,2.2,2.2,3027180
2019-04-24,2.1,2.1,2.1,2.1,2.1,2377164
2019-04-25,2,2,2,2,2,5643974
2019-04-26,1.9,2.05,1.9,1.9,1.9,66133254
2019-04-30,1.85,1.85,1.85,1.85,1.85,22861426
2019-05-02,1.9,1.9,1.9,1.9,1.9,16688044
2019-05-03,1.95,1.95,1.95,1.95,1.95,2617494
2019-05-06,2,2,2,2,2,2367025
2019-05-07,2,2.1,2,2.1,2.1,64196189
2019-05-08,2.1,2.2,2.1,2.2,2.2,27455636
2019-05-09,2.3,2.3,2.3,2.3,2.3,7854126
2019-05-10,2.4,2.4,2.4,2.4,2.4,3584592
2019-05-13,2.45,2.5,2.3,2.3,2.3,42329516
2019-05-14,2.2,2.2,2.2,2.2,2.2,3046906
2019-05-15,2.1,2.1,2.1,2.1,2.1,2196123
2019-05-16,2,2,2,2,2,2539454
